instance.yaml
kiva v0.2.0-0-g98c829f
Copyright (C) 2012-2014 Big Ladder Software
Web: www.bigladdersoftware.com

Starting Program: 2014-Jun-24 21:25:39.217473
Creating Domain...
Initializing Temperatures...
2096-Dec-30 23:00:00
Beginning Simulation...
2097-Aug-10 22:00:00 (60.9%)
2097-Aug-11 09:00:00 (61%)
2097-Aug-11 20:00:00 (61.2%)
2097-Aug-12 07:00:00 (61.3%)
2097-Aug-12 18:00:00 (61.4%)
2097-Aug-13 05:00:00 (61.5%)
2097-Aug-13 16:00:00 (61.7%)
2097-Aug-14 03:00:00 (61.8%)
2097-Aug-14 14:00:00 (61.9%)
2097-Aug-15 01:00:00 (62%)
2097-Aug-15 12:00:00 (62.2%)
2097-Aug-15 23:00:00 (62.3%)
2097-Aug-16 10:00:00 (62.4%)
2097-Aug-16 21:00:00 (62.5%)
2097-Aug-17 08:00:00 (62.7%)
2097-Aug-17 19:00:00 (62.8%)
2097-Aug-18 06:00:00 (62.9%)
2097-Aug-18 17:00:00 (63%)
2097-Aug-19 04:00:00 (63.2%)
2097-Aug-19 15:00:00 (63.3%)
2097-Aug-20 02:00:00 (63.4%)
2097-Aug-20 13:00:00 (63.5%)
2097-Aug-21 00:00:00 (63.7%)
2097-Aug-21 11:00:00 (63.8%)
2097-Aug-21 22:00:00 (63.9%)
2097-Aug-22 09:00:00 (64%)
2097-Aug-22 20:00:00 (64.2%)
2097-Aug-23 07:00:00 (64.3%)
2097-Aug-23 18:00:00 (64.4%)
2097-Aug-24 05:00:00 (64.5%)
2097-Aug-24 16:00:00 (64.7%)
2097-Aug-25 03:00:00 (64.8%)
2097-Aug-25 14:00:00 (64.9%)
2097-Aug-26 01:00:00 (65%)
2097-Aug-26 12:00:00 (65.2%)
2097-Aug-26 23:00:00 (65.3%)
2097-Aug-27 10:00:00 (65.4%)
2097-Aug-27 21:00:00 (65.5%)
2097-Aug-28 08:00:00 (65.7%)
2097-Aug-28 20:00:00 (65.8%)
2097-Aug-29 07:00:00 (65.9%)
2097-Aug-29 18:00:00 (66.1%)
2097-Aug-30 05:00:00 (66.2%)
2097-Aug-30 15:00:00 (66.3%)
2097-Aug-31 02:00:00 (66.4%)
2097-Aug-31 13:00:00 (66.5%)
2097-Sep-01 00:00:00 (66.7%)
2097-Sep-01 11:00:00 (66.8%)
2097-Sep-01 22:00:00 (66.9%)
2097-Sep-02 09:00:00 (67%)
2097-Sep-02 20:00:00 (67.2%)
2097-Sep-03 07:00:00 (67.3%)
2097-Sep-03 18:00:00 (67.4%)
2097-Sep-04 05:00:00 (67.5%)
2097-Sep-04 16:00:00 (67.7%)
2097-Sep-05 03:00:00 (67.8%)
2097-Sep-05 14:00:00 (67.9%)
2097-Sep-06 01:00:00 (68%)
2097-Sep-06 12:00:00 (68.2%)
2097-Sep-06 23:00:00 (68.3%)
2097-Sep-07 10:00:00 (68.4%)
2097-Sep-07 21:00:00 (68.5%)
2097-Sep-08 08:00:00 (68.7%)
2097-Sep-08 19:00:00 (68.8%)
2097-Sep-09 06:00:00 (68.9%)
2097-Sep-09 18:00:00 (69.1%)
2097-Sep-10 05:00:00 (69.2%)
2097-Sep-10 16:00:00 (69.3%)
2097-Sep-11 03:00:00 (69.4%)
2097-Sep-11 14:00:00 (69.6%)
2097-Sep-12 01:00:00 (69.7%)
2097-Sep-12 12:00:00 (69.8%)
2097-Sep-12 23:00:00 (69.9%)
2097-Sep-13 10:00:00 (70.1%)
2097-Sep-13 21:00:00 (70.2%)
2097-Sep-14 08:00:00 (70.3%)
2097-Sep-14 19:00:00 (70.4%)
2097-Sep-15 06:00:00 (70.6%)
2097-Sep-15 17:00:00 (70.7%)
2097-Sep-16 04:00:00 (70.8%)
2097-Sep-16 15:00:00 (70.9%)
2097-Sep-17 02:00:00 (71.1%)
2097-Sep-17 13:00:00 (71.2%)
2097-Sep-18 00:00:00 (71.3%)
2097-Sep-18 11:00:00 (71.4%)
2097-Sep-18 22:00:00 (71.6%)
2097-Sep-19 09:00:00 (71.7%)
2097-Sep-19 20:00:00 (71.8%)
2097-Sep-20 08:00:00 (71.9%)
2097-Sep-20 19:00:00 (72.1%)
2097-Sep-21 06:00:00 (72.2%)
2097-Sep-21 17:00:00 (72.3%)
2097-Sep-22 04:00:00 (72.4%)
2097-Sep-22 15:00:00 (72.6%)
2097-Sep-23 02:00:00 (72.7%)
2097-Sep-23 13:00:00 (72.8%)
2097-Sep-24 00:00:00 (73%)
2097-Sep-24 11:00:00 (73.1%)
2097-Sep-24 22:00:00 (73.2%)
2097-Sep-25 09:00:00 (73.3%)
2097-Sep-25 20:00:00 (73.5%)
2097-Sep-26 07:00:00 (73.6%)
2097-Sep-26 18:00:00 (73.7%)
2097-Sep-27 05:00:00 (73.8%)
2097-Sep-27 16:00:00 (74%)
2097-Sep-28 03:00:00 (74.1%)
2097-Sep-28 14:00:00 (74.2%)
2097-Sep-29 01:00:00 (74.3%)
2097-Sep-29 12:00:00 (74.5%)
2097-Sep-30 00:00:00 (74.6%)
2097-Sep-30 10:00:00 (74.7%)
2097-Sep-30 21:00:00 (74.8%)
2097-Oct-01 08:00:00 (75%)
2097-Oct-01 19:00:00 (75.1%)
2097-Oct-02 06:00:00 (75.2%)
2097-Oct-02 17:00:00 (75.3%)
2097-Oct-03 04:00:00 (75.5%)
2097-Oct-03 15:00:00 (75.6%)
2097-Oct-04 02:00:00 (75.7%)
2097-Oct-04 13:00:00 (75.8%)
2097-Oct-05 00:00:00 (76%)
2097-Oct-05 11:00:00 (76.1%)
2097-Oct-05 22:00:00 (76.2%)
2097-Oct-06 09:00:00 (76.3%)
2097-Oct-06 20:00:00 (76.5%)
2097-Oct-07 07:00:00 (76.6%)
2097-Oct-07 18:00:00 (76.7%)
